Location,Obesity Percentage,Lower Limit,Upper Limit
"OwenCounty,Kentucky",35.1,25.2,45.4
"OwsleyCounty,Kentucky",47.6,37.2,58.1
"PendletonCounty,Kentucky",32.8,23.6,43.2
"PerryCounty,Kentucky",40.8,36.1,45.5
"PikeCounty,Kentucky",38.7,34.7,42.9
"PowellCounty,Kentucky",32.1,21.9,43.2
"PulaskiCounty,Kentucky",37,32.5,41.2
"RobertsonCounty,Kentucky",26.1,17,37.8
"RockcastleCounty,Kentucky",33.4,26.4,41.5
"RowanCounty,Kentucky",38.2,32.7,43.9
"RussellCounty,Kentucky",31.8,25,39.2
"ScottCounty,Kentucky",34,26.4,41.4
"ShelbyCounty,Kentucky",30.6,23.9,38
"SimpsonCounty,Kentucky",38,29.3,48.1
"SpencerCounty,Kentucky",35.9,25.8,47.5
"TaylorCounty,Kentucky",35.8,28.5,42.9
"ToddCounty,Kentucky",35.8,27,45.3
"TriggCounty,Kentucky",32.5,24.9,41.2
"TrimbleCounty,Kentucky",36.3,26,47.8
"UnionCounty,Kentucky",31.2,24.2,39.1
"WarrenCounty,Kentucky",29.5,25.9,33.3
"WashingtonCounty,Kentucky",34.5,24.7,45
"WayneCounty,Kentucky",40.3,32.7,47.7
"WebsterCounty,Kentucky",35.8,27.1,45
"WhitleyCounty,Kentucky",33.4,27.8,39.6
"WolfeCounty,Kentucky",36.4,28.4,44
"WoodfordCounty,Kentucky",32.3,23.6,43.2
"AcadiaParish,Louisiana",38.4,31,46
"AllenParish,Louisiana",37.1,27.5,47.3
"AscensionParish,Louisiana",32.7,27.3,38.7
"AssumptionParish,Louisiana",42.1,32.2,52.9
"AvoyellesParish,Louisiana",45.2,37.8,53.1
"BeauregardParish,Louisiana",36.2,28.5,44.3
"BienvilleParish,Louisiana",45.5,33,57.4
"BossierParish,Louisiana",30.8,25.6,36.6
"CaddoParish,Louisiana",40.1,36.3,44.2
"CalcasieuParish,Louisiana",35.4,31.6,39.5
"CaldwellParish,Louisiana",39.9,30.3,49.6
"CameronParish,Louisiana",34.4,22.5,48.7
"CatahoulaParish,Louisiana",37.1,27,48.4
"ClaiborneParish,Louisiana",38.1,29.1,47.5
"ConcordiaParish,Louisiana",34.4,27.6,41.5
"DeSotoParish,Louisiana",38,26.9,49.9
"EastBatonRougeParish,Louisiana",31.9,29.1,34.9
"EastCarrollParish,Louisiana",39.8,27.9,53
"EastFelicianaParish,Louisiana",34.6,23.8,45.7
"EvangelineParish,Louisiana",39.3,28.9,49.3
"FranklinParish,Louisiana",38.5,30.9,47.1
"GrantParish,Louisiana",47.6,38.2,56.8
"IberiaParish,Louisiana",41.4,34.7,47.7
"IbervilleParish,Louisiana",37.9,27.7,48.8
"JacksonParish,Louisiana",34.4,26.2,43.1
"JeffersonDavisParish,Louisiana",41.1,32.7,49.6
"JeffersonParish,Louisiana",33.3,29.8,36.8
"LafayetteParish,Louisiana",31,26.7,35.2
"LafourcheParish,Louisiana",39.6,34.6,44.8
"LasalleParish,Louisiana",34.6,26.4,43.5
"LincolnParish,Louisiana",36,30.1,42.1
"LivingstonParish,Louisiana",36.3,31.2,41.5
"MadisonParish,Louisiana",41.2,31.5,50.6
"MorehouseParish,Louisiana",43.5,35.4,51.3
"NatchitochesParish,Louisiana",36.5,28.2,45.3
"OrleansParish,Louisiana",29.4,26.1,32.9
"OuachitaParish,Louisiana",40.3,36,44.5
"PlaqueminesParish,Louisiana",37.3,30.7,43.4
"PointeCoupeeParish,Louisiana",31,21.8,42.5
"RapidesParish,Louisiana",39.7,35.2,44.5
"RedRiverParish,Louisiana",31.1,19.7,44.5
"RichlandParish,Louisiana",35.5,26.8,45.2
"SabineParish,Louisiana",46.5,36.2,56.6
"St.BernardParish,Louisiana",42.4,36.6,48.2
"St.CharlesParish,Louisiana",37.1,30.1,44.8
"St.HelenaParish,Louisiana",32.2,20.9,45.9
"St.JamesParish,Louisiana",37.9,28.1,47.9
"St.JohnTheBaptistParish,Louisiana",43,34.9,51.3
"St.LandryParish,Louisiana",33.4,26.8,40.4
"St.MartinParish,Louisiana",36.6,29.4,44.9
"St.MaryParish,Louisiana",37.9,31.1,45.1
"St.TammanyParish,Louisiana",30.1,26.3,34.1
"TangipahoaParish,Louisiana",38.5,33.9,43.5
"TensasParish,Louisiana",30.4,20.2,41.3
"TerrebonneParish,Louisiana",41.4,36.2,46.3
"UnionParish,Louisiana",38.5,29.8,47.5
"VermilionParish,Louisiana",38.8,31.8,46.7
"VernonParish,Louisiana",35.8,29.2,43.2
"WashingtonParish,Louisiana",42.8,36.4,49.8
"WebsterParish,Louisiana",32.7,25,40.6
"WestBatonRougeParish,Louisiana",37.7,27,48.3
"WestCarrollParish,Louisiana",47.4,35.6,59.9
"WestFelicianaParish,Louisiana",21.1,11.1,35.4
"WinnParish,Louisiana",37.4,28.5,47.4
"AndroscogginCounty,Maine",33.8,31.4,36.5
"AroostookCounty,Maine",35.6,32.6,38.5
"CumberlandCounty,Maine",22.8,21.2,24.4
"FranklinCounty,Maine",34.3,31.3,37.5
"HancockCounty,Maine",24.9,22.3,27.5
"KennebecCounty,Maine",33.4,31,35.8
"KnoxCounty,Maine",27.5,24.7,30.6
"LincolnCounty,Maine",23.6,21,26.2
"OxfordCounty,Maine",33.6,30.7,36.5
"PenobscotCounty,Maine",33.7,31.4,36
"PiscataquisCounty,Maine",37.6,33.9,41.5
"SagadahocCounty,Maine",24.8,21.8,28
"SomersetCounty,Maine",33.8,30.8,36.8
"WaldoCounty,Maine",31.1,28.2,34
"WashingtonCounty,Maine",32.8,29.5,36
"YorkCounty,Maine",29.5,27.5,31.5
"AlleganyCounty,Maryland",37.2,33.5,41.4
"AnneArundelCounty,Maryland",29.1,27,30.9
"BaltimoreCity,Maryland",34.8,32.6,37
"BaltimoreCounty,Maryland",30.5,29,32.3
"CalvertCounty,Maryland",31.4,28.1,34.6
"CarolineCounty,Maryland",40.3,36.4,44.1
"CarrollCounty,Maryland",32.6,29,36.4
"CecilCounty,Maryland",32.4,29.3,35.7
"CharlesCounty,Maryland",35.8,33.2,38.6
"DorchesterCounty,Maryland",39.7,35.5,43.9
"FrederickCounty,Maryland",28.7,26.7,30.9
"GarrettCounty,Maryland",37.1,33.8,41
"HarfordCounty,Maryland",32,29,35
"HowardCounty,Maryland",24.8,22.4,27.3
"KentCounty,Maryland",29.7,25.4,34.1
"MontgomeryCounty,Maryland",20.8,19.6,22.3
"PrinceGeorgesCounty,Maryland",36.9,35.1,38.9
"QueenAnnesCounty,Maryland",28.2,25.1,31.5
"SomersetCounty,Maryland",44.6,38.8,50.4
"St.MarysCounty,Maryland",36.2,32.8,39.3
"TalbotCounty,Maryland",28.7,25.1,32
"WashingtonCounty,Maryland",36.2,33.3,39
"WicomicoCounty,Maryland",35.9,32.6,39.2
"WorcesterCounty,Maryland",35,30.7,39.5
"BarnstableCounty,Massachusetts",21.1,18.1,24.7
"BerkshireCounty,Massachusetts",25.6,21.1,30.5
"BristolCounty,Massachusetts",28.7,26.3,31
"DukesCounty,Massachusetts",26,18.9,34.5
"EssexCounty,Massachusetts",24.5,22.6,26.7
"FranklinCounty,Massachusetts",28,23.2,33.6
"HampdenCounty,Massachusetts",31.2,28.6,34
"HampshireCounty,Massachusetts",20.1,16.8,23.8
"MiddlesexCounty,Massachusetts",21.6,20.4,22.9
"NantucketCounty,Massachusetts",24.4,16.5,34.5
"NorfolkCounty,Massachusetts",22.6,20.6,24.5
"PlymouthCounty,Massachusetts",27.7,25.4,30.1
"SuffolkCounty,Massachusetts",21.7,20,23.4
"WorcesterCounty,Massachusetts",26.6,24.8,28.4
"AlconaCounty,Michigan",35.2,23.5,48.6
"AlgerCounty,Michigan",25.2,17,35.5
"AlleganCounty,Michigan",33.7,29.1,39.1
"AlpenaCounty,Michigan",33.3,25.1,42.4
"AntrimCounty,Michigan",31.3,23,40.5
"ArenacCounty,Michigan",36,25.4,46.5
"BaragaCounty,Michigan",36.1,23.4,49.6
"BarryCounty,Michigan",37.7,31.4,44.3
"BayCounty,Michigan",36,30.7,41.8
"BenzieCounty,Michigan",38,27.8,49
"BerrienCounty,Michigan",32.8,28.3,37.6
"BranchCounty,Michigan",38.2,30.4,47.1
"CalhounCounty,Michigan",33.6,28.6,39
"CassCounty,Michigan",40.5,32,49.4
"CharlevoixCounty,Michigan",34.1,25.9,42.4
"CheboyganCounty,Michigan",29.9,20.9,39.8
"ChippewaCounty,Michigan",40.6,33.2,48.5
"ClareCounty,Michigan",37.9,29.3,47.2
"ClintonCounty,Michigan",33.9,27.5,40
"CrawfordCounty,Michigan",31.9,21.6,43.1
"DeltaCounty,Michigan",36,28.8,43.9
"DickinsonCounty,Michigan",23.4,17,31.9
"EatonCounty,Michigan",36.9,31.1,42.8
"EmmetCounty,Michigan",26.4,20.2,33.5
"GeneseeCounty,Michigan",34.7,31.7,37.5
"GladwinCounty,Michigan",43.1,32.9,54
"GogebicCounty,Michigan",31,21,43
"GrandTraverseCounty,Michigan",30.7,25.9,35.9
"GratiotCounty,Michigan",37.8,29.9,46.9
"HillsdaleCounty,Michigan",39,32.3,46.5
"HoughtonCounty,Michigan",31.4,24.1,39.7
"HuronCounty,Michigan",33.5,26,42.1
"InghamCounty,Michigan",31.6,28.7,34.7
"IoniaCounty,Michigan",34.6,28.2,41.1
"IoscoCounty,Michigan",30.1,22.3,39.3
"IronCounty,Michigan",27,18.4,38.9
"IsabellaCounty,Michigan",33.5,26.8,40.5
"JacksonCounty,Michigan",36,33,39.2
"KalamazooCounty,Michigan",31.4,27.9,35
"KalkaskaCounty,Michigan",34.3,25.9,43.8
"KentCounty,Michigan",29.3,27.1,31.6
"KeweenawCounty,Michigan",28,17.4,41.2
"LakeCounty,Michigan",26.2,17.8,36.8
"LapeerCounty,Michigan",32.5,26.9,38.6
"LeelanauCounty,Michigan",26.9,20.3,34
"LenaweeCounty,Michigan",40.2,34.2,45.8
"LivingstonCounty,Michigan",27.1,23.6,30.6
"LuceCounty,Michigan",30.2,17.9,46.5
"MackinacCounty,Michigan",35.5,24.4,48.2
"MacombCounty,Michigan",31.5,29.1,33.8
"ManisteeCounty,Michigan",30.1,22.5,39
"MarquetteCounty,Michigan",35.9,29.5,42.2
"MasonCounty,Michigan",28.1,20.2,36.5
"MecostaCounty,Michigan",34,27.4,41.5
"MenomineeCounty,Michigan",31,23,39.8
"MidlandCounty,Michigan",38.4,32.8,44.3
"MissaukeeCounty,Michigan",37.4,28.4,46.8
"MonroeCounty,Michigan",37.2,32,42.6
"MontcalmCounty,Michigan",35.5,29.2,41.5
"MontmorencyCounty,Michigan",35.7,24.5,48.6
"MuskegonCounty,Michigan",35.6,32.4,38.9
"NewaygoCounty,Michigan",34.8,27.9,42.3
"OaklandCounty,Michigan",24.5,22.8,26.3
"OceanaCounty,Michigan",30.5,23.7,37.9
"OgemawCounty,Michigan",39.2,29.7,50
"OntonagonCounty,Michigan",28.6,18.2,41.3
"OsceolaCounty,Michigan",40.5,31,50.5
"OscodaCounty,Michigan",39.1,27.7,50.7
"OtsegoCounty,Michigan",27.1,18.8,36.2
"OttawaCounty,Michigan",27,23.7,30.6
"PresqueIsleCounty,Michigan",33.3,24.1,44.4
"RoscommonCounty,Michigan",34.4,25.9,44.1
"SaginawCounty,Michigan",37.3,33.6,41.5
"SanilacCounty,Michigan",31.7,24.7,39.4
"SchoolcraftCounty,Michigan",27.9,17.8,39.6
"ShiawasseeCounty,Michigan",38.4,32.5,44.1
"St.ClairCounty,Michigan",33.2,28.7,37.5
"St.JosephCounty,Michigan",33.7,26.7,40.8
"TuscolaCounty,Michigan",30.6,24.1,37.9
"VanBurenCounty,Michigan",33.2,26.6,40.3
"WashtenawCounty,Michigan",24.4,22,27
"WayneCounty,Michigan",34.4,32.8,36
"WexfordCounty,Michigan",36.9,29.3,44.2
"AitkinCounty,Minnesota",28.8,23.4,34.6
"AnokaCounty,Minnesota",29.7,27.7,31.6
"BeckerCounty,Minnesota",29.9,26.2,33.8
"BeltramiCounty,Minnesota",33.9,30.4,37.3
"BentonCounty,Minnesota",30.2,25.7,34.7
"BigStoneCounty,Minnesota",33.7,25.2,43.6
"BlueEarthCounty,Minnesota",33.6,29.7,37.6
"BrownCounty,Minnesota",32.6,26.9,38.3
"CarltonCounty,Minnesota",30.6,26.9,34.9
"CarverCounty,Minnesota",23.1,19.8,26.9
"CassCounty,Minnesota",30.8,26.3,35.5
"ChippewaCounty,Minnesota",34.4,27.5,41.8
"ChisagoCounty,Minnesota",28.6,24.2,33.5
"ClayCounty,Minnesota",28.1,24.3,31.9
"ClearwaterCounty,Minnesota",30.7,24.6,37.1
"CookCounty,Minnesota",20.7,14.4,28.2
"CottonwoodCounty,Minnesota",35.2,27.4,43.3
"CrowWingCounty,Minnesota",29.2,25.6,33.1
"DakotaCounty,Minnesota",28,26.1,29.9
"DodgeCounty,Minnesota",36.5,30.3,42.9
"DouglasCounty,Minnesota",32.6,28,37.2
"FaribaultCounty,Minnesota",32.8,26.3,39.9
"FillmoreCounty,Minnesota",27.8,22.4,33.6
"FreebornCounty,Minnesota",36.3,30.3,42.2
"GoodhueCounty,Minnesota",32.3,27.8,37
"GrantCounty,Minnesota",33.4,25.4,42.6
"HennepinCounty,Minnesota",22.3,21.4,23.3
"HoustonCounty,Minnesota",27.9,22.3,34.1
"HubbardCounty,Minnesota",34.5,29.6,39.7
"IsantiCounty,Minnesota",33,27.7,37.9
"ItascaCounty,Minnesota",33.4,29.5,38
"JacksonCounty,Minnesota",28.4,20.6,37.4
"KanabecCounty,Minnesota",33,26.7,39.5
"KandiyohiCounty,Minnesota",27.5,23.5,32.1
"KittsonCounty,Minnesota",28.2,19.3,39.1
"KoochichingCounty,Minnesota",28.4,22,34.9
"LacQuiParleCounty,Minnesota",35.2,27.3,43.6
"LakeCounty,Minnesota",27,20.6,34.1
"LakeOfTheWoodsCounty,Minnesota",28.8,20.1,39.5
"LeSueurCounty,Minnesota",35.1,28.7,41.8
"LincolnCounty,Minnesota",28,19.9,36.8
"LyonCounty,Minnesota",31.3,25.6,37.1
"MahnomenCounty,Minnesota",38.9,30.3,48.2
"MarshallCounty,Minnesota",37.9,29.5,46.2
"MartinCounty,Minnesota",32.6,26.2,39.7
"McleodCounty,Minnesota",34.7,30,40.2
"MeekerCounty,Minnesota",33.2,27.4,39.2
"MilleLacsCounty,Minnesota",30,25.9,34.3
"MorrisonCounty,Minnesota",32.3,27.3,37.4
"MowerCounty,Minnesota",31.6,26.4,37.1
"MurrayCounty,Minnesota",32.3,24.1,41
"NicolletCounty,Minnesota",27.6,22.9,32.9
"NoblesCounty,Minnesota",33.4,27.3,40.1
"NormanCounty,Minnesota",36.1,28.2,44.6
"OlmstedCounty,Minnesota",26.7,24.3,29.7
"OtterTailCounty,Minnesota",31.7,27.9,35.4
"PenningtonCounty,Minnesota",26.1,21.1,31.4
"PineCounty,Minnesota",34.8,30,39.7
"PipestoneCounty,Minnesota",31.4,24,40
"PolkCounty,Minnesota",39.6,34.7,44.7
"PopeCounty,Minnesota",30.2,23.4,38.2
"RamseyCounty,Minnesota",26,24.7,27.5
"RedLakeCounty,Minnesota",36.6,27.3,47.3
"RedwoodCounty,Minnesota",34.8,28,41.6
"RenvilleCounty,Minnesota",33.8,27.2,41.6
"RiceCounty,Minnesota",25.8,22.2,29.6
"RockCounty,Minnesota",23.8,17.6,31.1
"RoseauCounty,Minnesota",34.6,28.6,41.1
"ScottCounty,Minnesota",28.9,25.7,32.2
"SherburneCounty,Minnesota",29.6,26.1,33.3
"SibleyCounty,Minnesota",39.6,31.1,48.1
"St.LouisCounty,Minnesota",27.7,25.8,29.9
"StearnsCounty,Minnesota",28.8,26.3,31.5
"SteeleCounty,Minnesota",31.1,26.3,36.4
"StevensCounty,Minnesota",31.5,24.5,39.7
"SwiftCounty,Minnesota",38.2,30.5,47.2
"ToddCounty,Minnesota",37.3,31.3,43.8
"TraverseCounty,Minnesota",32.4,23.4,44.1
"WabashaCounty,Minnesota",36.3,30.2,43.2
"WadenaCounty,Minnesota",34.6,27.5,41.7
"WasecaCounty,Minnesota",32.9,26.2,40.6
"WashingtonCounty,Minnesota",24.3,22.2,26.7
"WatonwanCounty,Minnesota",31.7,23.8,39.5
"WilkinCounty,Minnesota",28.9,20.8,38.1
"WinonaCounty,Minnesota",29.5,24.8,34.5
"WrightCounty,Minnesota",31.3,28,34.8
"YellowMedicineCounty,Minnesota",35.3,26.7,44.4
"AdamsCounty,Mississippi",35.1,29.3,40.9
"AlcornCounty,Mississippi",35.6,29.1,42.9
"AmiteCounty,Mississippi",40.1,32.6,48.5
"AttalaCounty,Mississippi",37.6,30.5,45.6
"BentonCounty,Mississippi",40.1,27.4,52.7
"BolivarCounty,Mississippi",39,33.1,45.1
"CalhounCounty,Mississippi",38.4,30.6,47.1
"CarrollCounty,Mississippi",34.7,26,44.1
"ChickasawCounty,Mississippi",45.6,37.1,54.3
"ChoctawCounty,Mississippi",38.3,28.6,48.7
"ClaiborneCounty,Mississippi",41.1,26.9,56.2
"ClarkeCounty,Mississippi",28.6,21.9,36.5
"ClayCounty,Mississippi",39.8,31.9,48.5
"CoahomaCounty,Mississippi",42.5,35.3,49.7
"CopiahCounty,Mississippi",38.9,30.6,47.7
"CovingtonCounty,Mississippi",37.5,29.6,46.8
"DesotoCounty,Mississippi",35.2,30.9,39.8
"ForrestCounty,Mississippi",31.4,27.1,36.1
"FranklinCounty,Mississippi",31.7,22.3,42.9
"GeorgeCounty,Mississippi",38.9,29.8,48.1
"GreeneCounty,Mississippi",36.5,27.5,46
"GrenadaCounty,Mississippi",42,35.3,49.7
"HancockCounty,Mississippi",33.4,26.7,40.6
"HarrisonCounty,Mississippi",33.6,30.1,37.3
"HindsCounty,Mississippi",37,33.5,40.7
"HolmesCounty,Mississippi",46.2,37.7,54.6
"HumphreysCounty,Mississippi",46,35.1,56.9
"IssaquenaCounty,Mississippi",26.9,11.6,46
"ItawambaCounty,Mississippi",33.9,26.9,41.6
"JacksonCounty,Mississippi",32.7,28.8,36.8
"JasperCounty,Mississippi",45.3,36.3,53.6
"JeffersonCounty,Mississippi",53.3,40.7,65.2
"JeffersonDavisCounty,Mississippi",40.7,31.8,49.9
"JonesCounty,Mississippi",40,34.6,45.4
"KemperCounty,Mississippi",38.9,29.6,48.8
"LafayetteCounty,Mississippi",32.3,26.4,38.2
"LamarCounty,Mississippi",33.8,28.6,39.6
"LauderdaleCounty,Mississippi",36.2,31.7,40.9
"LawrenceCounty,Mississippi",33.9,27.2,41.4
"LeakeCounty,Mississippi",40.6,32.2,49.2
"LeeCounty,Mississippi",30.9,26.3,35.6
"LefloreCounty,Mississippi",36.9,30.7,43.4
"LincolnCounty,Mississippi",39.7,33.9,46
"LowndesCounty,Mississippi",36.6,31.7,41.4
"MadisonCounty,Mississippi",36.2,30.8,42.2
"MarionCounty,Mississippi",36,28.8,43.7
"MarshallCounty,Mississippi",44,36.4,51.7
"MonroeCounty,Mississippi",36.3,30.6,43.2
"MontgomeryCounty,Mississippi",37.9,29.5,47.2
"NeshobaCounty,Mississippi",43.1,36.2,50.7
"NewtonCounty,Mississippi",34.4,27.3,42.2
"NoxubeeCounty,Mississippi",42.3,31.3,53.8
"OktibbehaCounty,Mississippi",33.7,28.3,39.4
"PanolaCounty,Mississippi",33.7,27.6,40
"PearlRiverCounty,Mississippi",38.9,32.2,46
"PerryCounty,Mississippi",33.6,25,42.5
"PikeCounty,Mississippi",33.7,28.5,39.1
"PontotocCounty,Mississippi",35,27.7,42.4
"PrentissCounty,Mississippi",32.2,24.4,40.8
"QuitmanCounty,Mississippi",41.6,30.7,53.6
"RankinCounty,Mississippi",35.3,30.6,40.4
"ScottCounty,Mississippi",49,41.2,56.9
"SharkeyCounty,Mississippi",49.3,26.2,69.7
"SimpsonCounty,Mississippi",44.4,34.5,54.1
"SmithCounty,Mississippi",37.7,29.3,46.7
"StoneCounty,Mississippi",41.2,31.3,51.5
"SunflowerCounty,Mississippi",50.2,43.2,57.7
"TallahatchieCounty,Mississippi",44.1,35.8,52.1
"TateCounty,Mississippi",36.7,30,43.1
"TippahCounty,Mississippi",40.2,31.6,49.2
"TishomingoCounty,Mississippi",37.6,29.4,46.2
"TunicaCounty,Mississippi",40,29.8,50.3
"UnionCounty,Mississippi",40.1,31.8,48.6
"WalthallCounty,Mississippi",36.8,29.4,44.2
"WarrenCounty,Mississippi",35.9,28.5,43.7
"WashingtonCounty,Mississippi",43.5,38.6,48.6
"WayneCounty,Mississippi",42.7,34.4,51.6
"WebsterCounty,Mississippi",33.2,23.6,43.3
"WilkinsonCounty,Mississippi",37.5,28.7,46.5
"WinstonCounty,Mississippi",39.3,32,47.2
"YalobushaCounty,Mississippi",33.4,24.8,42.5
"YazooCounty,Mississippi",41.1,31.4,51.6
"AdairCounty,Missouri",28.2,21.4,35.3
"AndrewCounty,Missouri",31.3,23.4,40.7
"AtchisonCounty,Missouri",39.3,29.6,50.1
"AudrainCounty,Missouri",35.3,25.8,45.9
"BarryCounty,Missouri",38.5,29.6,47.7
"BartonCounty,Missouri",25.3,16,36.2
"BatesCounty,Missouri",36.8,27.9,45.5
"BentonCounty,Missouri",34,24.4,44.6
"BollingerCounty,Missouri",32.1,22.8,42.6
"BooneCounty,Missouri",26.3,22.5,30.4
"BuchananCounty,Missouri",38.3,33.6,43.2
"ButlerCounty,Missouri",37.8,30.9,44.9
"CaldwellCounty,Missouri",32.2,22.6,44.2
"CallawayCounty,Missouri",37.3,29.9,45.2
"CamdenCounty,Missouri",22,15.8,29.1
"CapeGirardeauCounty,Missouri",31.9,26.8,37.3
"CarrollCounty,Missouri",37.9,29.6,47.2
"CarterCounty,Missouri",27,17.3,37.6
"CassCounty,Missouri",36.7,31.4,42.1
"CedarCounty,Missouri",34,23,47.7
"CharitonCounty,Missouri",28.7,20.6,38
"ChristianCounty,Missouri",31.2,24.3,39.1
"ClarkCounty,Missouri",29,19.4,39.5
"ClayCounty,Missouri",33.1,29.5,36.7
"ClintonCounty,Missouri",33.1,24.7,42.1
"ColeCounty,Missouri",35.6,28.8,43.2
"CooperCounty,Missouri",34.1,24.1,45.4
"CrawfordCounty,Missouri",40.6,31.9,50.2
"DadeCounty,Missouri",33.9,22.1,46.8
"DallasCounty,Missouri",32.1,21.3,45.6
"DaviessCounty,Missouri",46.3,36.2,56.4
"DekalbCounty,Missouri",36.8,26.6,48.1
"DentCounty,Missouri",21,12.9,31.2
"DouglasCounty,Missouri",30.2,21.2,40.9
"DunklinCounty,Missouri",41.6,35.9,47.2
"FranklinCounty,Missouri",33.2,27.5,39.1
"GasconadeCounty,Missouri",30,21.1,40.2
"GentryCounty,Missouri",28.8,20.6,38.6
"GreeneCounty,Missouri",33.1,28.8,37.7
"GrundyCounty,Missouri",34,24.6,43.9
"HarrisonCounty,Missouri",31.8,23.8,40
"HenryCounty,Missouri",31.1,21.5,42.2
"HickoryCounty,Missouri",32.3,19.7,46.9
"HoltCounty,Missouri",28.5,19.5,38.4
"HowardCounty,Missouri",33.6,22.2,47.1
"HowellCounty,Missouri",37.1,29.8,45.2
"IronCounty,Missouri",24,16.9,32.9
"JacksonCounty,Missouri",31.8,29.7,33.9
"JasperCounty,Missouri",39,32.3,45.6
"JeffersonCounty,Missouri",31.8,27.4,36.1
"JohnsonCounty,Missouri",33.8,28.7,39.2
"KnoxCounty,Missouri",35.1,23.8,47.3
"LacledeCounty,Missouri",31,23.6,40.1
"LafayetteCounty,Missouri",31.6,24.9,39
"LawrenceCounty,Missouri",32.7,23.6,42.3
"LewisCounty,Missouri",33.3,23.7,44.2
"LincolnCounty,Missouri",36.6,28.8,44.6
"LinnCounty,Missouri",33.3,24.6,42.4
"LivingstonCounty,Missouri",42.8,32.6,53.7
"MaconCounty,Missouri",34.8,27.5,42.7
"MadisonCounty,Missouri",35.3,23.2,48.1
"MariesCounty,Missouri",34.9,23.4,46.9
"MarionCounty,Missouri",36,28.7,43.4
"McdonaldCounty,Missouri",29.5,20.8,39.5
"MercerCounty,Missouri",22.6,15.1,33.2
"MillerCounty,Missouri",38.9,29,48.8
"MississippiCounty,Missouri",38.4,30.6,46.7
"MoniteauCounty,Missouri",42.6,31,55.1
"MonroeCounty,Missouri",30.1,20.9,41.5
"MontgomeryCounty,Missouri",26.5,17.6,38.1
"MorganCounty,Missouri",35.6,25.4,46.1
"NewMadridCounty,Missouri",35.9,29.3,42.9
"NewtonCounty,Missouri",28.6,21.7,36.6
"NodawayCounty,Missouri",35.5,28.6,42.3
"OregonCounty,Missouri",30.2,21,40.4
"OsageCounty,Missouri",28.5,19,40.2
"OzarkCounty,Missouri",23.2,15.4,32.8
"PemiscotCounty,Missouri",36.3,29.3,43.8
"PerryCounty,Missouri",37.5,27.3,48.8
"PettisCounty,Missouri",37.1,28.7,46.2
"PhelpsCounty,Missouri",35.2,27.9,42.6
"PikeCounty,Missouri",37.1,28.7,46.9
"PlatteCounty,Missouri",29.6,24.7,34.8
"PolkCounty,Missouri",38.7,29.5,48.6
"PulaskiCounty,Missouri",32.9,24.4,41.9
"PutnamCounty,Missouri",28.1,19,39.4
"RallsCounty,Missouri",29.8,20.9,39.9
"RandolphCounty,Missouri",40.8,33.1,48.2
"RayCounty,Missouri",34.8,26.6,44.1
"ReynoldsCounty,Missouri",31.2,20.5,43.7
"RipleyCounty,Missouri",36.7,27.4,46.8
"SalineCounty,Missouri",36.1,28.6,43.9
"SchuylerCounty,Missouri",30,20.1,42.8
"ScotlandCounty,Missouri",31.9,21.8,43.1
"ScottCounty,Missouri",35.9,30.8,41.1
"ShannonCounty,Missouri",35,24.3,47.1
"ShelbyCounty,Missouri",28,19.6,38.1
"St.CharlesCounty,Missouri",29.3,26.2,32.5
"St.ClairCounty,Missouri",37.3,24.8,51.2
"St.FrancoisCounty,Missouri",38.6,32.5,44.9
"St.LouisCity,Missouri",34.2,31.1,37.3
"St.LouisCounty,Missouri",27.6,25.4,29.5
"Ste.GenevieveCounty,Missouri",34.8,25.5,44.5
"StoddardCounty,Missouri",36.1,30.7,42.1
"StoneCounty,Missouri",30.6,22.3,40.4
"SullivanCounty,Missouri",30.6,21.1,40.7
"TaneyCounty,Missouri",28.8,21.2,37.6
"TexasCounty,Missouri",30.7,23.4,38.7
"VernonCounty,Missouri",27.3,19,38.1
"WarrenCounty,Missouri",36.6,27.8,45.4
"WashingtonCounty,Missouri",31,23.1,38.8
"WayneCounty,Missouri",34.2,24.7,43.8
"WebsterCounty,Missouri",26.6,18.4,36.7
"WorthCounty,Missouri",23.8,14.9,35.8
"WrightCounty,Missouri",28.9,20.6,39.7
"BeaverheadCounty,Montana",26.5,20.3,33.8
"BigHornCounty,Montana",37.9,33,43.4
"BlaineCounty,Montana",39.3,34.6,43.8
"BroadwaterCounty,Montana",33.4,23.5,45.1
"CarbonCounty,Montana",27.9,21.5,34.7
"CarterCounty,Montana",34.1,24.4,45.1
"CascadeCounty,Montana",26.9,24.2,29.9
"ChouteauCounty,Montana",28.7,21.7,36.9
"CusterCounty,Montana",33.3,27.7,39
"DanielsCounty,Montana",25.9,18,36.6
"DawsonCounty,Montana",28.6,23.7,34.1
"DeerLodgeCounty,Montana",28.4,20.6,37
"FallonCounty,Montana",35.2,26.6,44.4
"FergusCounty,Montana",30.7,24.7,37.7
"FlatheadCounty,Montana",21.2,18.2,24.3
"GallatinCounty,Montana",17.1,14.6,19.5
"GarfieldCounty,Montana",26.6,18.1,36.7
"GlacierCounty,Montana",36.8,33,40.7
"GoldenValleyCounty,Montana",24.8,15.6,37
"GraniteCounty,Montana",21.5,14,30.2
"HillCounty,Montana",38.3,34.9,41.9
"JeffersonCounty,Montana",25.4,18.6,33
"JudithBasinCounty,Montana",30.2,20.9,41
