Location,Obesity Percentage,Lower Limit,Upper Limit
"CheyenneCounty,Colorado",22.6,15.3,32.4
"ClearCreekCounty,Colorado",20.3,14.4,27.4
"ConejosCounty,Colorado",25.5,19.1,33.6
"CostillaCounty,Colorado",27.6,18.6,37.4
"CrowleyCounty,Colorado",30.8,20.5,43.1
"CusterCounty,Colorado",27.8,19.5,38.1
"DeltaCounty,Colorado",26.6,21.1,32.3
"DenverCounty,Colorado",17,15.8,18.4
"DoloresCounty,Colorado",19,12.3,28.7
"DouglasCounty,Colorado",19.1,17.1,21.3
"EagleCounty,Colorado",12.7,9.5,16.3
"ElPasoCounty,Colorado",22.2,20.7,23.7
"ElbertCounty,Colorado",27,21.9,32.7
"FremontCounty,Colorado",27.5,23.4,31.8
"GarfieldCounty,Colorado",23.1,18.7,27.5
"GilpinCounty,Colorado",25.8,18,35.3
"GrandCounty,Colorado",17.1,12.4,23.3
"GunnisonCounty,Colorado",16.5,12,22.4
"HinsdaleCounty,Colorado",23.4,13.9,35.8
"HuerfanoCounty,Colorado",26.8,19.3,35.3
"JacksonCounty,Colorado",27.3,17.9,39
"JeffersonCounty,Colorado",20.1,18.5,21.6
"KiowaCounty,Colorado",29.6,19.6,42.3
"KitCarsonCounty,Colorado",31.2,24.2,38.2
"LaPlataCounty,Colorado",18,14.7,21.8
"LakeCounty,Colorado",24.4,16.9,33
"LarimerCounty,Colorado",20.1,18.1,22.1
"LasAnimasCounty,Colorado",29.3,23,36.8
"LincolnCounty,Colorado",30.1,22.6,38.3
"LoganCounty,Colorado",38.2,32.5,44.2
"MesaCounty,Colorado",23.3,20.4,26.2
"MineralCounty,Colorado",19.4,12,30.3
"MoffatCounty,Colorado",26.1,20.1,32.6
"MontezumaCounty,Colorado",27.3,21.9,33.3
"MontroseCounty,Colorado",20.6,16.3,25.6
"MorganCounty,Colorado",34.9,29.7,40.2
"OteroCounty,Colorado",35,28.9,41.2
"OurayCounty,Colorado",20.5,13.2,29.5
"ParkCounty,Colorado",22.6,17.2,28.9
"PhillipsCounty,Colorado",31.5,23.4,40.6
"PitkinCounty,Colorado",13.2,9.4,18.7
"ProwersCounty,Colorado",34,27.6,40.6
"PuebloCounty,Colorado",29.4,25.9,33.4
"RioBlancoCounty,Colorado",25.4,18.3,33.3
"RioGrandeCounty,Colorado",27.1,20.6,34.4
"RouttCounty,Colorado",14.8,11.1,19
"SaguacheCounty,Colorado",28.7,21.1,37.1
"SanJuanCounty,Colorado",23.3,14.7,34.7
"SanMiguelCounty,Colorado",17.6,11.8,25.6
"SedgwickCounty,Colorado",26.6,18.3,36.3
"SummitCounty,Colorado",15.7,11.4,20.9
"TellerCounty,Colorado",20.1,15.4,25.9
"WashingtonCounty,Colorado",32.3,23.8,41.6
"WeldCounty,Colorado",28.8,26.6,31.3
"YumaCounty,Colorado",27.3,20.8,34.3
"FairfieldCounty,Connecticut",20.8,19.8,21.9
"HartfordCounty,Connecticut",25.8,24.6,27.1
"LitchfieldCounty,Connecticut",26.9,24,29.8
"MiddlesexCounty,Connecticut",25.2,22.6,27.9
"NewHavenCounty,Connecticut",27.8,26.4,29.2
"NewLondonCounty,Connecticut",29.6,27.4,31.9
"TollandCounty,Connecticut",24.5,22.2,27.2
"WindhamCounty,Connecticut",29.9,27,32.8
"KentCounty,Delaware",35.2,33.4,37
"NewCastleCounty,Delaware",28.3,26.8,30
"SussexCounty,Delaware",32.6,30.7,34.7
"DistrictOfColumbia,DistrictofColumbia",24,23.1,24.9
"AlachuaCounty,Florida",26.9,24.4,29.8
"BakerCounty,Florida",37.7,33.5,42.1
"BayCounty,Florida",29,26,32.2
"BradfordCounty,Florida",36.8,32.7,41.1
"BrevardCounty,Florida",30,26.8,33.1
"BrowardCounty,Florida",24.4,22.2,26.8
"CalhounCounty,Florida",36.6,32.4,40.9
"CharlotteCounty,Florida",28.5,25.1,31.9
"CitrusCounty,Florida",30.2,26.4,34.3
"ClayCounty,Florida",31.8,28.2,35.7
"CollierCounty,Florida",21.8,19,24.7
"ColumbiaCounty,Florida",36,32.7,39.2
"DesotoCounty,Florida",31.7,27.6,36
"DixieCounty,Florida",34.7,30.2,38.9
