Location,Population,Obesity Percentage,Lower Limit,Upper Limit
"Jefferson Parish,  Louisiana",434051,33.3,29.8,36.8
"Lucas County,  Ohio",429899,34.8,32,37.7
"Sarasota County,  Florida",426718,21.5,18.6,24.7
"Dakota County,  Minnesota",425423,28,26.1,29.9
"Cameron County,  Texas",423908,30.9,25.5,36.7
"Berks County,  Pennsylvania",420152,36.3,30.7,42.2
"Clackamas County,  Oregon",416075,28.3,25.8,31
"Hillsborough County,  New Hampshire",415247,27.6,26,29.3
"Richland County,  South Carolina",414576,32.6,30.3,34.9
"Mobile County,  Alabama",413757,36.5,34.1,39.1
"Genesee County,  Michigan",406892,34.7,31.7,37.5
"Loudoun County,  Virginia",406850,22.1,18.9,25.1
"Charleston County,  South Carolina",405905,26.5,24.4,28.6
"Waukesha County,  Wisconsin",403072,26,22.4,29.4
"St. Charles County,  Missouri",399182,29.3,26.2,32.5
"Manatee County,  Florida",394855,26.6,23.4,30.1
"Placer County,  California",393149,20.3,16.8,24.2
"Pulaski County,  Arkansas",392680,33.1,30.6,35.6
"Orleans Parish,  Louisiana",391006,29.4,26.1,32.9
"Butler County,  Ohio",382378,32.1,28,36.1
"Orange County,  New York",381951,30.2,27.1,33.4
"Lane County,  Oregon",379611,27.1,24.4,29.7
"Forsyth County,  North Carolina",379099,32.8,29,36.7
"Collier County,  Florida",378488,21.8,19,24.7
"Allen County,  Indiana",375351,32.2,29.6,34.9
"Stark County,  Ohio",371574,34.8,31,38.6
"Washtenaw County,  Michigan",370963,24.4,22,27
"Brazoria County,  Texas",370200,27.8,21.4,34.3
"Mercer County,  New Jersey",369811,25.4,22.9,28.1
"Lehigh County,  Pennsylvania",368100,30.8,26.5,35.3
"Osceola County,  Florida",367990,29.9,26.4,33.7
"Madison County,  Alabama",366519,32.8,29.4,36.5
"Hamilton County,  Tennessee",364286,29.4,26.3,32.6
"Nueces County,  Texas",362265,32.7,28.9,36.5
"Marion County,  Florida",359977,30.7,27.7,34.1
"Lake County,  Florida",356495,31.3,27.9,34.7
"Bell County,  Texas",355642,34.9,29.9,40.4
"Anoka County,  Minnesota",353813,29.7,27.7,31.6
"Davis County,  Utah",351713,26.3,24.8,28
"Westmoreland County,  Pennsylvania",350611,30.6,26.7,34.7
