Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"GreeneCounty,Arkansas",7225,Restaurants and Other Eating Places,62,91.9,8.1,57
"HempsteadCounty,Arkansas",7225,Restaurants and Other Eating Places,41,70.7,29.3,29
"HowardCounty,Arkansas",7225,Restaurants and Other Eating Places,23,69.6,30.4,16
"IndependenceCounty,Arkansas",7225,Restaurants and Other Eating Places,61,86.9,13.1,53
"IzardCounty,Arkansas",7225,Restaurants and Other Eating Places,D,D,D,13
"JacksonCounty,Arkansas",7225,Restaurants and Other Eating Places,24,66.7,33.3,16
"JeffersonCounty,Arkansas",7225,Restaurants and Other Eating Places,118,83.9,16.1,99
"JohnsonCounty,Arkansas",7225,Restaurants and Other Eating Places,29,89.7,10.3,26
"LafayetteCounty,Arkansas",7225,Restaurants and Other Eating Places,D,D,D,5
"LawrenceCounty,Arkansas",7225,Restaurants and Other Eating Places,D,D,D,18
"LeeCounty,Arkansas",7225,Restaurants and Other Eating Places,7,57.1,42.9,4
"LincolnCounty,Arkansas",7225,Restaurants and Other Eating Places,D,D,D,13
"LittleRiverCounty,Arkansas",7225,Restaurants and Other Eating Places,18,55.6,44.4,10
"LoganCounty,Arkansas",7225,Restaurants and Other Eating Places,37,67.6,32.4,25
"LonokeCounty,Arkansas",7225,Restaurants and Other Eating Places,95,84.2,15.8,80
"MadisonCounty,Arkansas",7225,Restaurants and Other Eating Places,20,70,30,14
"MillerCounty,Arkansas",7225,Restaurants and Other Eating Places,62,82.3,17.7,51
"MississippiCounty,Arkansas",7225,Restaurants and Other Eating Places,75,78.7,21.3,59
"MonroeCounty,Arkansas",7225,Restaurants and Other Eating Places,14,78.6,21.4,11
"MontgomeryCounty,Arkansas",7225,Restaurants and Other Eating Places,D,D,D,8
"NevadaCounty,Arkansas",7225,Restaurants and Other Eating Places,10,70,30,7
"NewtonCounty,Arkansas",7225,Restaurants and Other Eating Places,D,D,D,8
"OuachitaCounty,Arkansas",7225,Restaurants and Other Eating Places,44,70.5,29.5,31
"PerryCounty,Arkansas",7225,Restaurants and Other Eating Places,S,S,S,8
"PhillipsCounty,Arkansas",7225,Restaurants and Other Eating Places,26,65.4,34.6,17
"PikeCounty,Arkansas",7225,Restaurants and Other Eating Places,16,75,25,12
"PoinsettCounty,Arkansas",7225,Restaurants and Other Eating Places,39,76.9,23.1,30
"PolkCounty,Arkansas",7225,Restaurants and Other Eating Places,29,82.8,17.2,24
"PopeCounty,Arkansas",7225,Restaurants and Other Eating Places,111,86.5,13.5,96
"PrairieCounty,Arkansas",7225,Restaurants and Other Eating Places,15,66.7,33.3,10
"PulaskiCounty,Arkansas",7225,Restaurants and Other Eating Places,903,89.5,10.5,808
"RandolphCounty,Arkansas",7225,Restaurants and Other Eating Places,D,D,D,20
"St.FrancisCounty,Arkansas",7225,Restaurants and Other Eating Places,35,80,20,28
"SalineCounty,Arkansas",7225,Restaurants and Other Eating Places,160,82.5,17.5,132
"ScottCounty,Arkansas",7225,Restaurants and Other Eating Places,25,40,60,10
"SearcyCounty,Arkansas",7225,Restaurants and Other Eating Places,15,60,40,9
"SebastianCounty,Arkansas",7225,Restaurants and Other Eating Places,276,84.8,15.2,234
"SevierCounty,Arkansas",7225,Restaurants and Other Eating Places,26,69.2,30.8,18
"SharpCounty,Arkansas",7225,Restaurants and Other Eating Places,34,82.4,17.6,28
"StoneCounty,Arkansas",7225,Restaurants and Other Eating Places,21,81,19,17
"UnionCounty,Arkansas",7225,Restaurants and Other Eating Places,66,87.9,12.1,58
"VanBurenCounty,Arkansas",7225,Restaurants and Other Eating Places,21,71.4,28.6,15
"WashingtonCounty,Arkansas",7225,Restaurants and Other Eating Places,510,84.7,15.3,432
"WhiteCounty,Arkansas",7225,Restaurants and Other Eating Places,126,88.9,11.1,112
"WoodruffCounty,Arkansas",7225,Restaurants and Other Eating Places,14,50,50,7
"YellCounty,Arkansas",7225,Restaurants and Other Eating Places,21,76.2,23.8,16
"AlamedaCounty,California",7225,Restaurants and Other Eating Places,"3,980",86.1,13.9,"3,425"
"AlpineCounty,California",7225,Restaurants and Other Eating Places,D,D,D,2
"AmadorCounty,California",7225,Restaurants and Other Eating Places,86,86,14,74
"ButteCounty,California",7225,Restaurants and Other Eating Places,403,88.3,11.7,356
"CalaverasCounty,California",7225,Restaurants and Other Eating Places,94,87.2,12.8,82
"ColusaCounty,California",7225,Restaurants and Other Eating Places,27,77.8,22.2,21
"ContraCostaCounty,California",7225,Restaurants and Other Eating Places,"2,016",85.7,14.3,"1,728"
"DelNorteCounty,California",7225,Restaurants and Other Eating Places,46,84.8,15.2,39
"ElDoradoCounty,California",7225,Restaurants and Other Eating Places,400,90.8,9.3,363
"FresnoCounty,California",7225,Restaurants and Other Eating Places,"1,583",84.4,15.6,"1,336"
"GlennCounty,California",7225,Restaurants and Other Eating Places,45,86.7,13.3,39
"HumboldtCounty,California",7225,Restaurants and Other Eating Places,317,90.2,9.8,286
"ImperialCounty,California",7225,Restaurants and Other Eating Places,255,80,20,204
"InyoCounty,California",7225,Restaurants and Other Eating Places,52,90.4,9.6,47
"KernCounty,California",7225,Restaurants and Other Eating Places,"1,345",87.6,12.4,"1,178"
"KingsCounty,California",7225,Restaurants and Other Eating Places,177,88.1,11.9,156
"LakeCounty,California",7225,Restaurants and Other Eating Places,109,85.3,14.7,93
"LassenCounty,California",7225,Restaurants and Other Eating Places,D,D,D,28
"LosAngelesCounty,California",7225,Restaurants and Other Eating Places,"23,519",82.2,17.8,"19,334"
"MaderaCounty,California",7225,Restaurants and Other Eating Places,173,85.5,14.5,148
"MarinCounty,California",7225,Restaurants and Other Eating Places,680,89.7,10.3,610
"MariposaCounty,California",7225,Restaurants and Other Eating Places,30,76.7,23.3,23
"MendocinoCounty,California",7225,Restaurants and Other Eating Places,224,87.1,12.9,195
"MercedCounty,California",7225,Restaurants and Other Eating Places,324,84.3,15.7,273
"ModocCounty,California",7225,Restaurants and Other Eating Places,17,64.7,35.3,11
"MonoCounty,California",7225,Restaurants and Other Eating Places,69,88.4,11.6,61
"MontereyCounty,California",7225,Restaurants and Other Eating Places,859,88.7,11.3,762
"NapaCounty,California",7225,Restaurants and Other Eating Places,289,91.7,8.3,265
"NevadaCounty,California",7225,Restaurants and Other Eating Places,215,89.3,10.7,192
"OrangeCounty,California",7225,Restaurants and Other Eating Places,"7,802",87.8,12.2,"6,853"
"PlacerCounty,California",7225,Restaurants and Other Eating Places,833,92.7,7.3,772
"PlumasCounty,California",7225,Restaurants and Other Eating Places,63,88.9,11.1,56
"RiversideCounty,California",7225,Restaurants and Other Eating Places,"3,766",84.9,15.1,"3,198"
"SacramentoCounty,California",7225,Restaurants and Other Eating Places,"2,791",86.5,13.5,"2,414"
"SanBenitoCounty,California",7225,Restaurants and Other Eating Places,84,89.3,10.7,75
"SanBernardinoCounty,California",7225,Restaurants and Other Eating Places,"3,521",85.7,14.3,"3,018"
"SanDiegoCounty,California",7225,Restaurants and Other Eating Places,"7,105",88,12,"6,252"
"SanFranciscoCounty,California",7225,Restaurants and Other Eating Places,"3,809",90.8,9.2,"3,459"
"SanJoaquinCounty,California",7225,Restaurants and Other Eating Places,"1,160",84.8,15.2,984
"SanLuisObispoCounty,California",7225,Restaurants and Other Eating Places,746,89.3,10.7,666
"SanMateoCounty,California",7225,Restaurants and Other Eating Places,"1,907",89,11,"1,697"
"SantaBarbaraCounty,California",7225,Restaurants and Other Eating Places,992,91.2,8.8,905
"SantaClaraCounty,California",7225,Restaurants and Other Eating Places,"4,365",90.3,9.7,"3,943"
"SantaCruzCounty,California",7225,Restaurants and Other Eating Places,629,88.1,11.9,554
"ShastaCounty,California",7225,Restaurants and Other Eating Places,312,89.1,10.9,278
"SierraCounty,California",7225,Restaurants and Other Eating Places,9,55.6,44.4,5
"SiskiyouCounty,California",7225,Restaurants and Other Eating Places,108,83.3,16.7,90
"SolanoCounty,California",7225,Restaurants and Other Eating Places,721,88.8,11.2,640
"SonomaCounty,California",7225,Restaurants and Other Eating Places,"1,122",87.4,12.6,981
"StanislausCounty,California",7225,Restaurants and Other Eating Places,915,83.5,16.5,764
"SutterCounty,California",7225,Restaurants and Other Eating Places,148,89.9,10.1,133
"TehamaCounty,California",7225,Restaurants and Other Eating Places,99,88.9,11.1,88
"TrinityCounty,California",7225,Restaurants and Other Eating Places,33,75.8,24.2,25
"TulareCounty,California",7225,Restaurants and Other Eating Places,647,84.5,15.5,547
"TuolumneCounty,California",7225,Restaurants and Other Eating Places,123,84.6,15.4,104
"VenturaCounty,California",7225,Restaurants and Other Eating Places,"1,645",88,12,"1,448"
"YoloCounty,California",7225,Restaurants and Other Eating Places,388,89.4,10.6,347
"YubaCounty,California",7225,Restaurants and Other Eating Places,75,85.3,14.7,64
"AdamsCounty,Colorado",7225,Restaurants and Other Eating Places,734,86.9,13.1,638
"AlamosaCounty,Colorado",7225,Restaurants and Other Eating Places,39,79.5,20.5,31
"ArapahoeCounty,Colorado",7225,Restaurants and Other Eating Places,"1,269",87.2,12.8,"1,106"
"BacaCounty,Colorado",7225,Restaurants and Other Eating Places,8,50,50,4
"BoulderCounty,Colorado",7225,Restaurants and Other Eating Places,801,91.6,8.4,734
"BroomfieldCounty,Colorado",7225,Restaurants and Other Eating Places,142,93,7,132
"ChaffeeCounty,Colorado",7225,Restaurants and Other Eating Places,80,82.5,17.5,66
"CheyenneCounty,Colorado",7225,Restaurants and Other Eating Places,4,25,75,1
"ClearCreekCounty,Colorado",7225,Restaurants and Other Eating Places,S,S,S,35
"ConejosCounty,Colorado",7225,Restaurants and Other Eating Places,10,70,30,7
"CostillaCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,4
"CrowleyCounty,Colorado",7225,Restaurants and Other Eating Places,4,25,75,1
"CusterCounty,Colorado",7225,Restaurants and Other Eating Places,13,61.5,38.5,8
"DeltaCounty,Colorado",7225,Restaurants and Other Eating Places,65,81.5,18.5,53
"DenverCounty,Colorado",7225,Restaurants and Other Eating Places,"1,938",90.6,9.4,"1,756"
"DoloresCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,3
"DouglasCounty,Colorado",7225,Restaurants and Other Eating Places,523,90.6,9.4,474
"EagleCounty,Colorado",7225,Restaurants and Other Eating Places,208,91.3,8.7,190
"ElbertCounty,Colorado",7225,Restaurants and Other Eating Places,27,70.4,29.6,19
"ElPasoCounty,Colorado",7225,Restaurants and Other Eating Places,"1,132",87.6,12.4,992
"FremontCounty,Colorado",7225,Restaurants and Other Eating Places,65,86.2,13.8,56
"GarfieldCounty,Colorado",7225,Restaurants and Other Eating Places,174,87.9,12.1,153
"GilpinCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,3
"GrandCounty,Colorado",7225,Restaurants and Other Eating Places,93,92.5,7.5,86
"GunnisonCounty,Colorado",7225,Restaurants and Other Eating Places,74,94.6,5.4,70
"HinsdaleCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,9
"HuerfanoCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,17
"JacksonCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,2
"JeffersonCounty,Colorado",7225,Restaurants and Other Eating Places,"1,101",91.9,8.1,"1,012"
"KiowaCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,2
"KitCarsonCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,15
"LakeCounty,Colorado",7225,Restaurants and Other Eating Places,20,80,20,16
"LaPlataCounty,Colorado",7225,Restaurants and Other Eating Places,151,90.1,9.9,136
"LarimerCounty,Colorado",7225,Restaurants and Other Eating Places,741,90.6,9.4,671
"LasAnimasCounty,Colorado",7225,Restaurants and Other Eating Places,29,82.8,17.2,24
"LincolnCounty,Colorado",7225,Restaurants and Other Eating Places,13,69.2,30.8,9
"MesaCounty,Colorado",7225,Restaurants and Other Eating Places,260,88.1,11.9,229
"MineralCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,7
"MoffatCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,20
"MontezumaCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,55
"MontroseCounty,Colorado",7225,Restaurants and Other Eating Places,76,84.2,15.8,64
"MorganCounty,Colorado",7225,Restaurants and Other Eating Places,48,81.3,18.8,39
"OteroCounty,Colorado",7225,Restaurants and Other Eating Places,40,82.5,17.5,33
"OurayCounty,Colorado",7225,Restaurants and Other Eating Places,33,84.8,15.2,28
"ParkCounty,Colorado",7225,Restaurants and Other Eating Places,24,79.2,20.8,19
"PhillipsCounty,Colorado",7225,Restaurants and Other Eating Places,12,75,25,9
"PitkinCounty,Colorado",7225,Restaurants and Other Eating Places,117,91.5,8.5,107
"ProwersCounty,Colorado",7225,Restaurants and Other Eating Places,23,87,13,20
"PuebloCounty,Colorado",7225,Restaurants and Other Eating Places,288,90.6,9.4,261
"RioBlancoCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,11
"RioGrandeCounty,Colorado",7225,Restaurants and Other Eating Places,31,61.3,38.7,19
"RouttCounty,Colorado",7225,Restaurants and Other Eating Places,123,92.7,7.3,114
"SaguacheCounty,Colorado",7225,Restaurants and Other Eating Places,9,66.7,33.3,6
"SanJuanCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,13
"SanMiguelCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,44
"SedgwickCounty,Colorado",7225,Restaurants and Other Eating Places,8,50,50,4
"SummitCounty,Colorado",7225,Restaurants and Other Eating Places,201,94.5,5.5,190
"TellerCounty,Colorado",7225,Restaurants and Other Eating Places,46,82.6,17.4,38
"WeldCounty,Colorado",7225,Restaurants and Other Eating Places,410,88.5,11.5,363
"YumaCounty,Colorado",7225,Restaurants and Other Eating Places,D,D,D,19
"FairfieldCounty,Connecticut",7225,Restaurants and Other Eating Places,"2,343",84.6,15.4,"1,982"
"HartfordCounty,Connecticut",7225,Restaurants and Other Eating Places,"1,940",88.5,11.5,"1,716"
"LitchfieldCounty,Connecticut",7225,Restaurants and Other Eating Places,409,84.8,15.2,347
"MiddlesexCounty,Connecticut",7225,Restaurants and Other Eating Places,383,89,11,341
"NewHavenCounty,Connecticut",7225,Restaurants and Other Eating Places,"1,995",85.1,14.9,"1,697"
"NewLondonCounty,Connecticut",7225,Restaurants and Other Eating Places,618,91.4,8.6,565
"TollandCounty,Connecticut",7225,Restaurants and Other Eating Places,212,90.6,9.4,192
"WindhamCounty,Connecticut",7225,Restaurants and Other Eating Places,192,96.4,3.6,185
"KentCounty,Delaware",7225,Restaurants and Other Eating Places,230,87.8,12.2,202
"NewCastleCounty,Delaware",7225,Restaurants and Other Eating Places,"1,118",84.9,15.1,949
"SussexCounty,Delaware",7225,Restaurants and Other Eating Places,578,90.7,9.3,524
"DistrictofColumbiaCounty,DistrictofColumbia",7225,Restaurants and Other Eating Places,"2,230",89.1,10.9,"1,986"
"AlachuaCounty,Florida",7225,Restaurants and Other Eating Places,508,90,10,457
"BakerCounty,Florida",7225,Restaurants and Other Eating Places,D,D,D,28
"BayCounty,Florida",7225,Restaurants and Other Eating Places,463,82.7,17.3,383
"BradfordCounty,Florida",7225,Restaurants and Other Eating Places,34,82.4,17.6,28
"BrevardCounty,Florida",7225,Restaurants and Other Eating Places,"1,103",87.7,12.3,967
"BrowardCounty,Florida",7225,Restaurants and Other Eating Places,"4,376",75.5,24.5,"3,303"
"CalhounCounty,Florida",7225,Restaurants and Other Eating Places,D,D,D,14
"CharlotteCounty,Florida",7225,Restaurants and Other Eating Places,271,88.2,11.8,239
"CitrusCounty,Florida",7225,Restaurants and Other Eating Places,204,80.9,19.1,165
"ClayCounty,Florida",7225,Restaurants and Other Eating Places,265,89.8,10.2,238
"CollierCounty,Florida",7225,Restaurants and Other Eating Places,859,82.5,17.5,709
"ColumbiaCounty,Florida",7225,Restaurants and Other Eating Places,105,84.8,15.2,89
"DeSotoCounty,Florida",7225,Restaurants and Other Eating Places,36,72.2,27.8,26
"DixieCounty,Florida",7225,Restaurants and Other Eating Places,21,66.7,33.3,14
"DuvalCounty,Florida",7225,Restaurants and Other Eating Places,"1,926",87.1,12.9,"1,677"
"EscambiaCounty,Florida",7225,Restaurants and Other Eating Places,504,84.1,15.9,424
"FlaglerCounty,Florida",7225,Restaurants and Other Eating Places,167,83.8,16.2,140
"FranklinCounty,Florida",7225,Restaurants and Other Eating Places,38,76.3,23.7,29
