Location,Household Total,Median,Mean
"WhitfieldCounty,Georgia",35858,46399,62003
"HawaiiCounty,Hawaii",69818,55750,74492
"HonoluluCounty,Hawaii",309169,80513,101034
"KauaiCounty,Hawaii",23214,71344,85866
"MauiCounty,Hawaii",53612,72257,98524
"AdaCounty,Idaho",167026,61301,81878
"BannockCounty,Idaho",30106,48429,64287
"BonnevilleCounty,Idaho",38464,59706,75108
"CanyonCounty,Idaho",69859,48437,57499
"KootenaiCounty,Idaho",58875,51765,66843
"TwinFallsCounty,Idaho",30119,51210,64321
"AdamsCounty,Illinois",27414,51624,70474
"ChampaignCounty,Illinois",81856,50335,70900
"CookCounty,Illinois",1963973,60046,86514
"DeKalbCounty,Illinois",36690,59285,75593
"DuPageCounty,Illinois",341320,84908,111236
"KaneCounty,Illinois",175360,73347,96716
"KankakeeCounty,Illinois",39314,54911,68588
"KendallCounty,Illinois",40752,90482,101320
"LakeCounty,Illinois",244390,83152,119261
"GrandTraverseCounty,Michigan",37252,58532,81079
"InghamCounty,Michigan",111779,49139,65974
"IsabellaCounty,Michigan",23920,41868,57935
"JacksonCounty,Michigan",59993,50009,65570
"KalamazooCounty,Michigan",102336,53138,73094
"KentCounty,Michigan",238472,59668,79579
"LapeerCounty,Michigan",33178,54309,68702
"LenaweeCounty,Michigan",37781,51918,67726
"LivingstonCounty,Michigan",70787,78038,98029
"MacombCounty,Michigan",342255,60143,76249
"MarquetteCounty,Michigan",25822,51275,63954
"MidlandCounty,Michigan",34381,57269,78311
"MonroeCounty,Michigan",58789,60799,74036
"MuskegonCounty,Michigan",65437,44264,56512
"OaklandCounty,Michigan",500750,71920,100091
"OttawaCounty,Michigan",100425,64513,79662
"SaginawCounty,Michigan",78494,45849,60525
"St.ClairCounty,Michigan",65681,51864,65798
"ShiawasseeCounty,Michigan",28071,53244,66951
"VanBurenCounty,Michigan",29337,47917,69730
"WashtenawCounty,Michigan",140079,65601,94215
"WayneCounty,Michigan",677208,43464,63254
"AnokaCounty,Minnesota",126477,76533,90703
"BlueEarthCounty,Minnesota",25687,53869,70588
"CarverCounty,Minnesota",36784,92455,119835
"DakotaCounty,Minnesota",159765,78662,98463
"HennepinCounty,Minnesota",502061,71200,100769
"OlmstedCounty,Minnesota",61357,72428,92336
"RamseyCounty,Minnesota",208743,60369,81980
"RiceCounty,Minnesota",22895,69135,82572
"St.LouisCounty,Minnesota",85170,49825,65805
"ScottCounty,Minnesota",48237,88765,107281
"SherburneCounty,Minnesota",31574,83675,92885
"StearnsCounty,Minnesota",58656,57728,73092
"WashingtonCounty,Minnesota",92384,90256,109140
"WrightCounty,Minnesota",47571,74190,89793
"DeSotoCounty,Mississippi",61039,64505,79338
"ForrestCounty,Mississippi",28007,37275,60356
"HarrisonCounty,Mississippi",75266,42770,57091
"HindsCounty,Mississippi",91065,43657,62946
"JacksonCounty,Mississippi",51637,54606,65081
"JonesCounty,Mississippi",24901,43350,59391
"LauderdaleCounty,Mississippi",28457,42364,54707
"LeeCounty,Mississippi",33209,42235,58146
"MadisonCounty,Mississippi",38251,64350,91739
"RankinCounty,Mississippi",56353,62332,75468
"BooneCounty,Missouri",68848,52752,70450
"BuchananCounty,Missouri",33971,48550,63459
"CapeGirardeauCounty,Missouri",29384,50223,68935
"CassCounty,Missouri",38983,63420,77446
"ChristianCounty,Missouri",30920,53172,67120
"ClayCounty,Missouri",89398,65430,80536
"ColeCounty,Missouri",29995,55303,69868
"FranklinCounty,Missouri",40023,55359,74134
"GreeneCounty,Missouri",121734,42062,59033
"JacksonCounty,Missouri",281910,50815,70180
"JasperCounty,Missouri",45730,45786,60014
"JeffersonCounty,Missouri",83754,61559,71054
"PlatteCounty,Missouri",37929,77581,96923
"St.CharlesCounty,Missouri",143152,80644,96421
"St.FrancoisCounty,Missouri",24350,45431,54546
"St.LouisCounty,Missouri",403271,62572,93352
"St.Louiscity,Missouri",139021,40346,61944
"CascadeCounty,Montana",33759,45138,62658
"FlatheadCounty,Montana",39279,50142,70136
"GallatinCounty,Montana",39644,61211,91957
"LewisandClarkCounty,Montana",27283,63475,81497
"MissoulaCounty,Montana",47725,46550,70910
"YellowstoneCounty,Montana",65019,57945,74760
"DouglasCounty,Nebraska",214073,58990,81035
"LancasterCounty,Nebraska",122027,58845,76116
"SarpyCounty,Nebraska",64863,73569,88354
"ClarkCounty,Nevada",755258,54384,72277
"WashoeCounty,Nevada",174726,58175,81564
"CheshireCounty,NewHampshire",29428,56364,73110
"GraftonCounty,NewHampshire",33546,61520,92962
"HillsboroughCounty,NewHampshire",158777,76254,93120
"MerrimackCounty,NewHampshire",57531,69505,88153
"RockinghamCounty,NewHampshire",119688,81726,105809
"StraffordCounty,NewHampshire",48351,71295,88380
"AtlanticCounty,NewJersey",96777,56778,77520
"BergenCounty,NewJersey",337227,93683,126812
"BurlingtonCounty,NewJersey",165862,80254,105413
"CamdenCounty,NewJersey",185512,66362,88390
"CapeMayCounty,NewJersey",38895,62548,87477
"CumberlandCounty,NewJersey",50787,49110,61132
"EssexCounty,NewJersey",280734,54277,92032
"GloucesterCounty,NewJersey",105436,79879,95344
"HudsonCounty,NewJersey",253321,63808,96308
"HunterdonCounty,NewJersey",47195,113684,145102
"MercerCounty,NewJersey",128332,77650,111623
"MiddlesexCounty,NewJersey",283661,82375,102689
"MonmouthCounty,NewJersey",230769,90226,120305
"MorrisCounty,NewJersey",181059,106985,143205
"OceanCounty,NewJersey",224308,62222,82537
"PassaicCounty,NewJersey",163868,62016,86051
"SalemCounty,NewJersey",24195,53662,73756
"SomersetCounty,NewJersey",116169,104478,142077
"SussexCounty,NewJersey",51978,87829,109564
"UnionCounty,NewJersey",187922,72028,109955
"WarrenCounty,NewJersey",40512,74867,94313
"BernalilloCounty,NewMexico",262328,50601,69392
"ChavesCounty,NewMexico",22516,40960,53516
"Do?aAnaCounty,NewMexico",75759,37496,56328
"LeaCounty,NewMexico",20793,55636,67445
"McKinleyCounty,NewMexico",20061,31526,43857
"OteroCounty,NewMexico",22384,43646,66808
"SandovalCounty,NewMexico",49821,57158,73308
"SanJuanCounty,NewMexico",43093,52003,65449
"SantaFeCounty,NewMexico",60096,57863,82210
"ValenciaCounty,NewMexico",26575,43700,54551
"AlbanyCounty,NewYork",125329,61754,83464
"BronxCounty,NewYork",498539,37525,53466
"BroomeCounty,NewYork",76957,50463,67239
"CattaraugusCounty,NewYork",31409,46842,57722
"CayugaCounty,NewYork",30966,54995,68575
"ChautauquaCounty,NewYork",51705,42204,55539
"ChemungCounty,NewYork",34418,51269,67332
"ClintonCounty,NewYork",30624,55316,65214
"DutchessCounty,NewYork",108200,74115,99958
"ErieCounty,NewYork",380473,54246,73544
"JeffersonCounty,NewYork",41415,45624,61225
"KingsCounty,NewYork",941871,55150,83115
"LivingstonCounty,NewYork",23904,53121,61229
"MadisonCounty,NewYork",25612,60630,76630
