,Location,Population,Lower Limit,Upper Limit,Household Total,Median,Mean
202,"CumberlandCounty,NorthCarolina",332330.0,30.3,37.7,124014,45205,57267
203,"SomersetCounty,NewJersey",331164.0,19.1,24.2,116169,104478,142077
204,"HamiltonCounty,Indiana",330086.0,23,28.1,118521,89823,116274
205,"HenricoCounty,Virginia",329261.0,28.5,34.7,127930,66337,93035
206,"BoulderCounty,Colorado",326078.0,13.4,17,123820,74615,105099
207,"RocklandCounty,NewYork",325695.0,19.9,26,99257,85515,116116
208,"RutherfordCounty,Tennessee",324890.0,31.4,40.6,111387,61157,75267
209,"FayetteCounty,Kentucky",323780.0,23.9,29.6,127137,53178,77827
210,"HowardCounty,Maryland",323196.0,22.4,27.3,112542,120941,144125
211,"St.LucieCounty,Florida",321128.0,26.5,33.7,111617,44804,58817
212,"LuzerneCounty,Pennsylvania",317646.0,25,34.1,124118,46580,64446
213,"LancasterCounty,Nebraska",317272.0,27.3,30.2,122027,58845,76116
214,"DurhamCounty,NorthCarolina",316739.0,21.1,28.5,123697,53832,77836
215,"EscambiaCounty,Florida",315534.0,26.3,32.3,118702,44788,60692
216,"WeldCounty,Colorado",314305.0,26.6,31.3,102087,63400,81031
217,"SpartanburgCounty,SouthCarolina",313888.0,29.5,35.4,113463,47371,63453
218,"LorainCounty,Ohio",309461.0,31.6,41.4,117871,54504,74417
219,"RockinghamCounty,NewHampshire",309176.0,23.6,27.6,119688,81726,105809
220,"LubbockCounty,Texas",307412.0,29.5,40.4,111975,49136,68557
221,"AlbanyCounty,NewYork",307117.0,24.2,29.7,125329,61754,83464
222,"NorthamptonCounty,Pennsylvania",304807.0,26.7,36.4,111760,66438,83297
223,"LexingtonCounty,SouthCarolina",295032.0,28.7,34.8,110146,57382,75343
224,"DutchessCounty,NewYork",293718.0,23.1,29.5,108200,74115,99958
225,"CumberlandCounty,Maine",293557.0,21.2,24.4,118049,65913,86255
226,"InghamCounty,Michigan",292735.0,28.7,34.7,111779,49139,65974
227,"LeonCounty,Florida",292502.0,28.2,33.3,112119,51107,70567
228,"GreeneCounty,Missouri",291923.0,28.8,37.7,121734,42062,59033
229,"AnchorageMunicipality,Alaska",291538.0,29.3,34.2,105249,85634,106393
230,"GloucesterCounty,NewJersey",291408.0,27.6,33.2,105436,79879,95344
231,"OttawaCounty,Michigan",290494.0,23.7,30.6,100425,64513,79662
232,"ClaytonCounty,Georgia",289615.0,31.9,41.2,94346,45252,55380
233,"ChathamCounty,Georgia",289195.0,27.6,37,110185,53964,76948
234,"ThurstonCounty,Washington",286419.0,27.2,32.4,105863,65783,79165
235,"WinnebagoCounty,Illinois",284081.0,28.2,38.3,114996,49749,65234
236,"SanLuisObispoCounty,California",284010.0,20.4,30.2,106312,70564,88338
237,"ClevelandCounty,Oklahoma",281669.0,31.5,38,105102,61288,75465
238,"DauphinCounty,Pennsylvania",277097.0,28.7,38.1,111260,60331,77859
239,"WebbCounty,Texas",275910.0,27.5,49.2,73483,35659,53833
240,"MercedCounty,California",274765.0,22.3,34.4,77713,47739,70672
241,"SantaCruzCounty,California",274255.0,14.5,23.2,96257,77613,106035
242,"YorkCounty,SouthCarolina",274118.0,29.4,34.8,98128,60767,79926
243,"BentonCounty,Arkansas",272608.0,25.8,32.7,94494,63631,83871
244,"ErieCounty,Pennsylvania",272061.0,30.5,38.4,109705,48964,63819
245,"St.JosephCounty,Indiana",270771.0,29.5,36.2,97071,48358,64649
246,"AlachuaCounty,Florida",269956.0,24.4,29.8,94428,45304,63144
247,"KitsapCounty,Washington",269805.0,27.8,33.8,101995,69171,85625
248,"NewLondonCounty,Connecticut",266784.0,27.4,31.9,105113,70699,94956
249,"AtlanticCounty,NewJersey",265429.0,26.1,32.1,96777,56778,77520
250,"KalamazooCounty,Michigan",264870.0,27.9,35,102336,53138,73094
251,"MadisonCounty,Illinois",264461.0,31.2,42.7,105465,56035,73318
252,"BrownCounty,Wisconsin",263378.0,28.5,37,104804,57783,75008
253,"St.ClairCounty,Illinois",261059.0,31.2,42.7,104782,50267,73193
254,"MarinCounty,California",259666.0,11.9,20.1,106333,103845,160053
255,"WashingtonCounty,Minnesota",259201.0,22.2,26.7,92384,90256,109140
256,"BuncombeCounty,NorthCarolina",259103.0,17.8,25.3,103127,50685,68923
257,"St.TammanyParish,Louisiana",258111.0,26.3,34.1,92205,64639,84610
258,"WeberCounty,Utah",256359.0,29.1,33.1,79501,63158,76150
259,"FrederickCounty,Maryland",255648.0,26.7,30.9,89800,90043,108353
260,"JeffersonCounty,Texas",255001.0,30.1,40.1,95801,45390,64895
261,"St.JohnsCounty,Florida",254261.0,19.6,25.8,84187,78581,107338
