Location,Population,Lower Limit,Upper Limit
"Durham County,  North Carolina",316739.0,21.1,28.5
"Escambia County,  Florida",315534.0,26.3,32.3
"Weld County,  Colorado",314305.0,26.6,31.3
"Spartanburg County,  South Carolina",313888.0,29.5,35.4
"Lorain County,  Ohio",309461.0,31.6,41.4
"Rockingham County,  New Hampshire",309176.0,23.6,27.6
"Lubbock County,  Texas",307412.0,29.5,40.4
"Albany County,  New York",307117.0,24.2,29.7
"Northampton County,  Pennsylvania",304807.0,26.7,36.4
"Lexington County,  South Carolina",295032.0,28.7,34.8
"Dutchess County,  New York",293718.0,23.1,29.5
"Cumberland County,  Maine",293557.0,21.2,24.4
"Ingham County,  Michigan",292735.0,28.7,34.7
"Leon County,  Florida",292502.0,28.2,33.3
"Greene County,  Missouri",291923.0,28.8,37.7
"Anchorage Municipality,  Alaska",291538.0,29.3,34.2
"Gloucester County,  New Jersey",291408.0,27.6,33.2
"Ottawa County,  Michigan",290494.0,23.7,30.6
"Clayton County,  Georgia",289615.0,31.9,41.2
"Chatham County,  Georgia",289195.0,27.6,37
"Thurston County,  Washington",286419.0,27.2,32.4
"Winnebago County,  Illinois",284081.0,28.2,38.3
"San Luis Obispo County,  California",284010.0,20.4,30.2
"Cleveland County,  Oklahoma",281669.0,31.5,38
"Dauphin County,  Pennsylvania",277097.0,28.7,38.1
"Webb County,  Texas",275910.0,27.5,49.2
"Merced County,  California",274765.0,22.3,34.4
"Santa Cruz County,  California",274255.0,14.5,23.2
"York County,  South Carolina",274118.0,29.4,34.8
"Benton County,  Arkansas",272608.0,25.8,32.7
"Erie County,  Pennsylvania",272061.0,30.5,38.4
"St. Joseph County,  Indiana",270771.0,29.5,36.2
"Alachua County,  Florida",269956.0,24.4,29.8
"Kitsap County,  Washington",269805.0,27.8,33.8
"New London County,  Connecticut",266784.0,27.4,31.9
"Atlantic County,  New Jersey",265429.0,26.1,32.1
"Kalamazoo County,  Michigan",264870.0,27.9,35
"Madison County,  Illinois",264461.0,31.2,42.7
"Brown County,  Wisconsin",263378.0,28.5,37
"St. Clair County,  Illinois",261059.0,31.2,42.7
"Marin County,  California",259666.0,11.9,20.1
"Washington County,  Minnesota",259201.0,22.2,26.7
"Buncombe County,  North Carolina",259103.0,17.8,25.3
"St. Tammany Parish,  Louisiana",258111.0,26.3,34.1
"Weber County,  Utah",256359.0,29.1,33.1
"Frederick County,  Maryland",255648.0,26.7,30.9
"Jefferson County,  Texas",255001.0,30.1,40.1
"St. Johns County,  Florida",254261.0,19.6,25.8
"Cherokee County,  Georgia",254149.0,21.5,31.7
"Harford County,  Maryland",253956.0,29,35
"Yakima County,  Washington",251446.0,31.5,38.5
"Cumberland County,  Pennsylvania",251423.0,23.9,33.9
"Clay County,  Missouri",246365.0,29.5,36.7
"Caddo Parish,  Louisiana",242922.0,36.3,44.2
"Lafayette Parish,  Louisiana",242782.0,26.7,35.2
"Arlington County,  Virginia",237521.0,17,23.3
"Hinds County,  Mississippi",237085.0,33.5,40.7
"Washington County,  Arkansas",236961.0,26.6,33.3
"Forsyth County,  Georgia",236612.0,21.2,32.5
"Union County,  North Carolina",235908.0,25.8,38
"New Hanover County,  North Carolina",232274.0,22,30.8
"Warren County,  Ohio",232173.0,22.9,32.4
"Yavapai County,  Arizona",231993.0,19.9,26.1
"Williamson County,  Tennessee",231729.0,16.3,26
"Butte County,  California",231256.0,22.2,32.7
"Lake County,  Ohio",230514.0,19.9,30
"Smith County,  Texas",230221.0,28.4,41.3
"Henry County,  Georgia",230220.0,29,41.7
"Saratoga County,  New York",230163.0,22.7,28.5
"Mahoning County,  Ohio",229642.0,27.4,36
"Oneida County,  New York",229577.0,29.9,37.2
"Sussex County,  Delaware",229286.0,30.7,34.7
"Brazos County,  Texas",226758.0,26.2,32.3
"Linn County,  Iowa",225909.0,31.4,37.7
"Montgomery County,  Alabama",225763.0,34,41.2
"Whatcom County,  Washington",225685.0,25.1,30.9
