NAME,Household Total,Median,Mean
"Volusia County, Florida",214039,45366,60941
"Walton County, Florida",27207,56246,76992
"Barrow County, Georgia",24865,54256,63123
"Bartow County, Georgia",36430,51405,65210
"Bibb County, Georgia",57692,36724,55077
"Bulloch County, Georgia",26411,43982,55840
"Carroll County, Georgia",40516,51228,60771
"Catoosa County, Georgia",24743,55717,72197
"Chatham County, Georgia",110185,53964,76948
"Cherokee County, Georgia",84088,77950,97849
"Clarke County, Georgia",47563,34999,54050
"Clayton County, Georgia",94346,45252,55380
"Cobb County, Georgia",277949,70947,94624
"Columbia County, Georgia",47513,72737,90016
"Coweta County, Georgia",50503,71220,92716
"DeKalb County, Georgia",281356,56109,82314
"Dougherty County, Georgia",34264,37222,55510
"Douglas County, Georgia",48901,62445,78151
"Fayette County, Georgia",40046,80626,112239
"Floyd County, Georgia",35411,49865,66817
"Forsyth County, Georgia",72208,100909,117651
"Fulton County, Georgia",396184,63510,100521
"Glynn County, Georgia",31757,48926,68614
"Gwinnett County, Georgia",290405,67155,86057
"Hall County, Georgia",62038,54917,70477
"Henry County, Georgia",74473,66905,82479
"Houston County, Georgia",55901,62493,74099
"Liberty County, Georgia",22952,45138,55306
"Lowndes County, Georgia",40835,41449,60300
"Muscogee County, Georgia",73051,40060,58832
"Newton County, Georgia",35825,48628,64719
"Paulding County, Georgia",53249,60856,73020
"Richmond County, Georgia",75909,41419,54092
"Rockdale County, Georgia",30381,56820,70408
"Troup County, Georgia",24493,42371,56650
"Walker County, Georgia",25110,39209,55681
"Walton County, Georgia",30715,53202,69697
"Whitfield County, Georgia",35858,46399,62003
"Hawaii County, Hawaii",69818,55750,74492
"Honolulu County, Hawaii",309169,80513,101034
"Kauai County, Hawaii",23214,71344,85866
"Maui County, Hawaii",53612,72257,98524
"Ada County, Idaho",167026,61301,81878
"Bannock County, Idaho",30106,48429,64287
"Bonneville County, Idaho",38464,59706,75108
"Canyon County, Idaho",69859,48437,57499
"Kootenai County, Idaho",58875,51765,66843
"Twin Falls County, Idaho",30119,51210,64321
"Adams County, Illinois",27414,51624,70474
"Champaign County, Illinois",81856,50335,70900
"Cook County, Illinois",1963973,60046,86514
"DeKalb County, Illinois",36690,59285,75593
"DuPage County, Illinois",341320,84908,111236
"Kane County, Illinois",175360,73347,96716
"Kankakee County, Illinois",39314,54911,68588
"Kendall County, Illinois",40752,90482,101320
"Lake County, Illinois",244390,83152,119261
"Grand Traverse County, Michigan",37252,58532,81079
"Ingham County, Michigan",111779,49139,65974
"Isabella County, Michigan",23920,41868,57935
"Jackson County, Michigan",59993,50009,65570
"Kalamazoo County, Michigan",102336,53138,73094
"Kent County, Michigan",238472,59668,79579
"Lapeer County, Michigan",33178,54309,68702
"Lenawee County, Michigan",37781,51918,67726
"Livingston County, Michigan",70787,78038,98029
"Macomb County, Michigan",342255,60143,76249
"Marquette County, Michigan",25822,51275,63954
"Midland County, Michigan",34381,57269,78311
"Monroe County, Michigan",58789,60799,74036
"Muskegon County, Michigan",65437,44264,56512
"Oakland County, Michigan",500750,71920,100091
"Ottawa County, Michigan",100425,64513,79662
"Saginaw County, Michigan",78494,45849,60525
"St. Clair County, Michigan",65681,51864,65798
"Shiawassee County, Michigan",28071,53244,66951
"Van Buren County, Michigan",29337,47917,69730
"Washtenaw County, Michigan",140079,65601,94215
"Wayne County, Michigan",677208,43464,63254
"Anoka County, Minnesota",126477,76533,90703
"Blue Earth County, Minnesota",25687,53869,70588
"Carver County, Minnesota",36784,92455,119835
"Dakota County, Minnesota",159765,78662,98463
"Hennepin County, Minnesota",502061,71200,100769
"Olmsted County, Minnesota",61357,72428,92336
"Ramsey County, Minnesota",208743,60369,81980
"Rice County, Minnesota",22895,69135,82572
"St. Louis County, Minnesota",85170,49825,65805
"Scott County, Minnesota",48237,88765,107281
"Sherburne County, Minnesota",31574,83675,92885
"Stearns County, Minnesota",58656,57728,73092
"Washington County, Minnesota",92384,90256,109140
"Wright County, Minnesota",47571,74190,89793
"DeSoto County, Mississippi",61039,64505,79338
"Forrest County, Mississippi",28007,37275,60356
"Harrison County, Mississippi",75266,42770,57091
"Hinds County, Mississippi",91065,43657,62946
"Jackson County, Mississippi",51637,54606,65081
"Jones County, Mississippi",24901,43350,59391
"Lauderdale County, Mississippi",28457,42364,54707
"Lee County, Mississippi",33209,42235,58146
"Madison County, Mississippi",38251,64350,91739
"Rankin County, Mississippi",56353,62332,75468
"Boone County, Missouri",68848,52752,70450
"Buchanan County, Missouri",33971,48550,63459
"Cape Girardeau County, Missouri",29384,50223,68935
"Cass County, Missouri",38983,63420,77446
"Christian County, Missouri",30920,53172,67120
"Clay County, Missouri",89398,65430,80536
"Cole County, Missouri",29995,55303,69868
"Franklin County, Missouri",40023,55359,74134
"Greene County, Missouri",121734,42062,59033
"Jackson County, Missouri",281910,50815,70180
"Jasper County, Missouri",45730,45786,60014
"Jefferson County, Missouri",83754,61559,71054
"Platte County, Missouri",37929,77581,96923
"St. Charles County, Missouri",143152,80644,96421
"St. Francois County, Missouri",24350,45431,54546
"St. Louis County, Missouri",403271,62572,93352
"St. Louis city, Missouri",139021,40346,61944
"Cascade County, Montana",33759,45138,62658
"Flathead County, Montana",39279,50142,70136
"Gallatin County, Montana",39644,61211,91957
"Lewis and Clark County, Montana",27283,63475,81497
"Missoula County, Montana",47725,46550,70910
"Yellowstone County, Montana",65019,57945,74760
"Douglas County, Nebraska",214073,58990,81035
"Lancaster County, Nebraska",122027,58845,76116
"Sarpy County, Nebraska",64863,73569,88354
"Clark County, Nevada",755258,54384,72277
"Washoe County, Nevada",174726,58175,81564
"Cheshire County, New Hampshire",29428,56364,73110
"Grafton County, New Hampshire",33546,61520,92962
"Hillsborough County, New Hampshire",158777,76254,93120
"Merrimack County, New Hampshire",57531,69505,88153
"Rockingham County, New Hampshire",119688,81726,105809
"Strafford County, New Hampshire",48351,71295,88380
"Atlantic County, New Jersey",96777,56778,77520
"Bergen County, New Jersey",337227,93683,126812
"Burlington County, New Jersey",165862,80254,105413
"Camden County, New Jersey",185512,66362,88390
"Cape May County, New Jersey",38895,62548,87477
"Cumberland County, New Jersey",50787,49110,61132
"Essex County, New Jersey",280734,54277,92032
"Gloucester County, New Jersey",105436,79879,95344
"Hudson County, New Jersey",253321,63808,96308
"Hunterdon County, New Jersey",47195,113684,145102
"Mercer County, New Jersey",128332,77650,111623
"Middlesex County, New Jersey",283661,82375,102689
"Monmouth County, New Jersey",230769,90226,120305
"Morris County, New Jersey",181059,106985,143205
"Ocean County, New Jersey",224308,62222,82537
"Passaic County, New Jersey",163868,62016,86051
"Salem County, New Jersey",24195,53662,73756
"Somerset County, New Jersey",116169,104478,142077
"Sussex County, New Jersey",51978,87829,109564
"Union County, New Jersey",187922,72028,109955
"Warren County, New Jersey",40512,74867,94313
"Bernalillo County, New Mexico",262328,50601,69392
"Chaves County, New Mexico",22516,40960,53516
"Do?a Ana County, New Mexico",75759,37496,56328
"Lea County, New Mexico",20793,55636,67445
"McKinley County, New Mexico",20061,31526,43857
"Otero County, New Mexico",22384,43646,66808
"Sandoval County, New Mexico",49821,57158,73308
"San Juan County, New Mexico",43093,52003,65449
"Santa Fe County, New Mexico",60096,57863,82210
"Valencia County, New Mexico",26575,43700,54551
"Albany County, New York",125329,61754,83464
"Bronx County, New York",498539,37525,53466
"Broome County, New York",76957,50463,67239
"Cattaraugus County, New York",31409,46842,57722
"Cayuga County, New York",30966,54995,68575
"Chautauqua County, New York",51705,42204,55539
"Chemung County, New York",34418,51269,67332
"Clinton County, New York",30624,55316,65214
"Dutchess County, New York",108200,74115,99958
"Erie County, New York",380473,54246,73544
"Jefferson County, New York",41415,45624,61225
"Kings County, New York",941871,55150,83115
"Livingston County, New York",23904,53121,61229
"Madison County, New York",25612,60630,76630
"Monroe County, New York",299224,54492,74700
"Nassau County, New York",440785,105870,139034
"New York County, New York",748293,77559,143741
"Niagara County, New York",86786,50233,65869
"Oneida County, New York",87929,52996,68695
"Onondaga County, New York",182984,56991,76174
"Ontario County, New York",45187,57448,78032
"Orange County, New York",124365,73025,91061
"Oswego County, New York",44633,53562,65090
"Putnam County, New York",34762,96992,122979
"Queens County, New York",761819,62207,81379
"Rensselaer County, New York",62816,65965,80856
"Richmond County, New York",164289,77197,95481
"Rockland County, New York",99257,85515,116116
"St. Lawrence County, New York",40479,51592,64088
"Saratoga County, New York",93703,76097,99966
"Schenectady County, New York",48720,58331,75564
"Steuben County, New York",38458,50575,69894
"Suffolk County, New York",474311,92933,118609
"Sullivan County, New York",25031,50652,76471
"Tompkins County, New York",37683,56349,73644
"Ulster County, New York",68298,62790,82176
"Warren County, New York",28841,58061,75717
"Wayne County, New York",37496,59538,70422
"Westchester County, New York",342216,89709,141104
"Alamance County, North Carolina",64369,45100,60609
"Brunswick County, North Carolina",54331,50692,66132
"Buncombe County, North Carolina",103127,50685,68923
"Burke County, North Carolina",35211,40345,51815
"Cabarrus County, North Carolina",70438,63386,78726
"Caldwell County, North Carolina",32911,36301,50001
"Carteret County, North Carolina",27506,51206,64471
"Catawba County, North Carolina",61618,48913,65599
"Chatham County, North Carolina",28568,62961,94054
"Cleveland County, North Carolina",36405,36992,50519
"Craven County, North Carolina",40297,49938,67148
"Cumberland County, North Carolina",124014,45205,57267
"Davidson County, North Carolina",62695,45678,59441
"Durham County, North Carolina",123697,53832,77836
"Forsyth County, North Carolina",146219,48271,73006
"Gaston County, North Carolina",82982,48711,69661
"Guilford County, North Carolina",201520,47262,69367
"Harnett County, North Carolina",43960,51637,62276
"Henderson County, North Carolina",47791,54963,68263
"Iredell County, North Carolina",65037,55891,79750
"Johnston County, North Carolina",66254,54719,65036
"Lincoln County, North Carolina",31588,49453,67290
"Mecklenburg County, North Carolina",399504,62978,89684
"Moore County, North Carolina",38786,52279,72904
"Nash County, North Carolina",35409,47902,64941
"New Hanover County, North Carolina",92808,50028,70803
"Onslow County, North Carolina",61766,47150,56900
"Orange County, North Carolina",50203,66423,94564
"Pitt County, North Carolina",70019,46573,62944
"Randolph County, North Carolina",56793,44836,55496
"Robeson County, North Carolina",45123,34254,47961
"Rockingham County, North Carolina",38163,40985,50217
"Rowan County, North Carolina",50138,48379,62377
"Rutherford County, North Carolina",26982,36121,46400
"Surry County, North Carolina",28261,36802,59268
"Union County, North Carolina",74763,71588,98685
"Wake County, North Carolina",387771,76097,100576
"Wayne County, North Carolina",47240,41711,58296
"Wilkes County, North Carolina",28771,41332,51346
"Wilson County, North Carolina",30897,39036,60107
"Orangeburg County, South Carolina",33449,32450,46106
"Pickens County, South Carolina",47303,45779,64839
"Richland County, South Carolina",153376,52030,71025
"Spartanburg County, South Carolina",113463,47371,63453
"Sumter County, South Carolina",41439,40614,56274
"York County, South Carolina",98128,60767,79926
"Minnehaha County, South Dakota",73808,60038,75126
"Pennington County, South Dakota",42956,50950,67638
"Anderson County, Tennessee",31209,46055,61601
"Blount County, Tennessee",49672,51183,66674
"Bradley County, Tennessee",40710,44853,59809
"Davidson County, Tennessee",281967,54855,78234
"Greene County, Tennessee",25418,41109,60485
"Hamilton County, Tennessee",139615,47898,71471
"Knox County, Tennessee",183889,52102,72285
"Madison County, Tennessee",37322,41791,58283
"Maury County, Tennessee",33667,50591,64296
"Montgomery County, Tennessee",69427,56112,65397
"Putnam County, Tennessee",31343,37437,56080
"Robertson County, Tennessee",25302,60423,74977
"Rutherford County, Tennessee",111387,61157,75267
"Sevier County, Tennessee",36098,45609,56756
"Shelby County, Tennessee",354666,47690,70860
"Sullivan County, Tennessee",64795,42859,58135
"Sumner County, Tennessee",65186,60503,78533
"Washington County, Tennessee",52707,46276,62660
"Williamson County, Tennessee",73811,106054,137681
"Wilson County, Tennessee",47707,71153,84232
"Angelina County, Texas",30210,41161,55000
"Bastrop County, Texas",25975,56508,72650
"Bell County, Texas",119985,52275,68060
"Bexar County, Texas",628924,53210,72419
